Plant|Control #|Part #|Product Version|Die
1815|N4581|000000007289460230|0003|N4581-HTTSEAUT
1815|N4581|000000007289460230|0004|N4581-HTTSEAUT
1815|N4581|000000007289460230|0005|N4581-HTTSEAUT
1815|N4581|000000007289460230|0006|N4581-HTTSEAUT
1815|N4581|000000007289460230|0007|N4581-HTTSEAUT
1815|N2841|000000000072884763|0001|N2841-HTTSEAUT
1815|N2841|000000000072884763|0002|N2841-HTTSEAUT
1815|B19C002|000000000071259246|0002|Y1
1815|B19C002|000000000071259246|0003|Y1
1815|B19C002|000000000071259247|0002|Y1
1815|B19C002|000000000071259247|0003|Y1
1815|B13A004|000000000071295504|0002|Y2
1815|A08I318|000000000071576805|0003|EF1
1815|A08I157|000000000071584150|0003|UA1
1815|A08I151|000000000071584153|0003|UA1
1815|A08I148|000000000071584163|0003|UA1
1815|A10H003|000000000071584168|0003|.UB3
1815|A10H003|000000000071584168|0007|.UB3
1815|A08I096|000000000071584169|0003|UA1
1815|A08I227|000000000071584171|0003|UB1
1815|A08I098|000000000071584173|0003|UA1
1815|A08I254|000000000071584175|0003|UB1
1815|A10J001|000000000071584176|0004|UB2
1815|A08I111|000000000071584201|0003|UA1
1815|A08J312|000000000071584203|0004|Y1
1815|B08J059|000000000071584211|0003|PA2
1815|A11C003|000000000071584217|0006|PA2
1815|A08I272|000000000071584220|0003|YP1
1815|A08I061|000000000071584269|0006|Y3
1815|B08J075|000000000071584819|0007|UB1
1815|A08J154|000000000071585385|0002|UB1
1815|B09A003|000000000071585987|0004|UA1
1815|B09A003|000000000071585987|0005|UA1
1815|B09A003|000000000071585987|0006|UA1
1815|A15L002|000000000071586171|0002|Y2
1815|A08J283|000000000071586173|0006|YX1
1815|A08I283|000000000071586199|0006|UA1
1815|A08I283|000000000071586199|0007|UA1
1815|A08I283|000000000071586199|0008|UA1
1815|A08I283|000000000071586199|0009|UA1
1815|A08I283|000000000071586199|0010|UA1
1815|B08I050|000000000071586373|0002|Y2
1815|B08I050|000000000071586373|0003|Y2
1815|B08I050|000000000071586373|0004|Y2
1815|B08I050|000000000071586373|0005|Y2
1815|B08I050|000000000071586373|0008|Y2
1815|B09A015|000000000071586452|0002|Y3
1815|B09A015|000000000071586452|0006|Y3
1815|A08J180|000000000071586554|0003|Y1
1815|B08I116|000000000071586577|0004|Y1
1815|B08I116|000000000071586577|0005|Y1
1815|B08I116|000000000071586577|0006|Y1
1815|B08H029|000000000071586612|0006|UA1
1815|B08H029|000000000071586612|0008|UA1
1815|B16L001|000000000071586677|0005|M1
1815|A08I346|000000000071587175|0002|YB1
1815|B08H003|000000000071588909|0002|UA2
1815|B08H003|000000000071588909|0003|UA2
1815|B08H003|000000000071588909|0004|UA2
1815|A11H002|000000000071720227|0004|UB1
1815|A11H002|000000000071720227|0005|UB1
1815|A11H002|000000000071720227|0006|UB1
1815|A11H002|000000000071720227|0007|UB1
1815|A14I003|000000000071720229|0002|Y1
1815|A14I003|000000000071720229|0003|Y1
1815|B15F001|000000000071720231|0002|Y1
1815|A14F003|000000000071720235|0002|Y1
1815|A14B002|000000000071720241|0002|Y3
1815|A14B002|000000000071720241|0004|Y3
1815|A14B002|000000000071720241|0005|Y3
1815|A08I360|000000000071720272|0002|Y1
1815|A13H002|000000000071720358|0002|Y1
1815|A13H002|000000000071720358|0003|Y1
1815|B10J002|000000000071720480|0006|Y2
1815|B10J002|000000000071720480|0008|Y2
1815|A12I004|000000000071720739|0003|Y1
1815|A12I004|000000000071720739|0004|Y1
1815|A13F002|000000000071720743|0003|Y1
1815|B13A001|000000000071720773|0002|Y1
1815|B13A001|000000000071720773|0003|Y1
1815|B13A001|000000000071720773|0004|Y1
1815|B12L001|000000000071720774|0002|Y1
1815|A15B007|000000000071721019|0003|Y1
1815|A16I003|000000000071721315|0002|Y1
1815|A16I003|000000000071721315|0003|Y1
1815|A16I003|000000000071721315|0004|Y1
1815|A16I003|000000000071721315|0005|Y1
1815|A17H001|000000000071721476|0002|Y1
1815|A17D004|000000000071721478|0002|Y1
1815|B17G005|000000000071721486|0002|YA2
1815|B17G005|000000000071721486|0003|YA2
1815|B17G005|000000000071721486|0004|YA2
1815|B17G005|000000000071721486|0005|YA2
1815|B17G005|000000000071721486|0006|YA2
1815|B19C004|000000000071721583|0003|YA1
1815|B19C003|000000000071721584|0003|YA1
1815|B20H002|000000000071721698|0002|YA1
1815|B20A003|000000000071721704|0002|YA1
1815|B20A003|000000000071721704|0003|YA1
1815|B20A003|000000000071721704|0004|YA1
1815|B20A003|000000000071721704|0005|YA1
1815|B20A003|000000000071721704|0006|YA1
1815|B20A003|000000000071721704|0007|YA1
1815|B20B003|000000000071721773|0002|YA1
1815|B20B003|000000000071721773|0003|YA1
1815|B20J002|000000000071721783|0003|YA1
1815|B20J003|000000000071721784|0003|YA1
1815|B21G002|000000000071721886|0002|YA1
1815|B21G002|000000000071721886|0003|YA1
1815|B21G002|000000000071721886|0004|YA1
1815|A08I361|000000000071730732|0002|Y1
1815|B13B001|000000000071732340|0004|Y1
1815|B08I140|000000007123183440|0002|UB2
1815|B08I140|000000007123183440|0003|UB2
1815|B08J028|000000007123193530|0004|UA1
1815|B08J028|000000007123193530|0008|UA1
1815|B08I320|000000007123782630|0002|UB1
1815|B08I298|000000007158422690|0002|Y1
1815|A08J294|000000007158425470|0003|E1
1815|B12H006|000000007158474870|0006|EX1
1815|B12H006|000000007158474870|0008|EX1
1815|B12G001|000000007158575690|0002|M1
1815|B12G001|000000007158575690|0003|M1
1815|B08I295|000000007158576890|0002|UB1
1815|B08I295|000000007158576890|0003|UB1
1815|A13I001|000000007158583890|0006|Y2
1815|A13I001|000000007158583890|0007|Y2
1815|A13I001|000000007158583890|0009|Y2
1815|A08J282|000000007158597450|0007|UA1
1815|A08J282|000000007158597450|0010|UA1
1815|A08J272|000000007158597550|0006|UA1
1815|A08I307|000000007158598950|0002|UA1
1815|A08I277|000000007158599050|0002|UA1
1815|A12I007|000000007158699350|0002|UA1
1815|A12I007|000000007158699350|0004|UA1
1815|A12I007|000000007158699350|0005|UA1
1815|A12I007|000000007158699350|0006|UA1
1815|A12I007|000000007158699350|0007|UA1
1815|A12I007|000000007158699350|0009|UA1
1815|A12I007|000000007158699350|0012|UA1
1815|A12I007|000000007158699350|0013|UA1
1815|A12I007|000000007158699350|0014|UA1
1815|A12I007|000000007158699350|0015|UA1
1815|A12I007|000000007158699350|0016|UA1
1815|A12I007|000000007158699350|0017|UA1
1815|A12I007|000000007158699350|0018|UA1
1815|B08J064|000000007158808850|0009|Y1
1815|B08I071|000000007158907530|0002|YA3
1815|B08I071|000000007158907530|0003|YA3
1815|B08I071|000000007158907530|0011|YA3
1815|B08I071|000000007158907530|0012|YA3
1815|B08I071|000000007158907530|0013|YA3
1815|B08I071|000000007158907530|0019|YA3
1815|B08I071|000000007158907530|0020|YA3
1815|B08I071|000000007158907540|0002|YA3
1815|B08I071|000000007158907540|0003|YA3
1815|B08I071|000000007158907540|0012|YA3
1815|B08I071|000000007158907540|0013|YA3
1815|B08I071|000000007158907540|0014|YA3
1815|B08I071|000000007158907540|0020|YA3
1815|B08I071|000000007158907540|0021|YA3
1815|B08I061|000000007158914940|0004|YA1
1815|B08I061|000000007158914940|0005|YA1
1815|B08I061|000000007158914940|0008|YA1
1815|B08I061|000000007158914940|0009|YA1
1815|B08I061|000000007158914940|0010|YA1
1815|A08I005|000000007158950090|0002|Y1
1815|A08I005|000000007158950090|0003|Y1
1815|A08I005|000000007158950090|0004|Y1
1815|A08I005|000000007158950090|0005|Y1
1815|A08I357|000000007172015650|0006|Y1
1815|A08J085|000000007172021650|0003|Y1
1815|B16D001|000000007172133950|0002|Y1
1815|B16D001|000000007172133950|0003|Y1
1815|B16D001|000000007172133950|0004|Y1
1815|B16D001|000000007172133950|0005|Y1
1815|B17I004|000000007172149250|0006|Y1
1815|B18A005|000000007172152850|0006|Y1
1815|B20F002|000000007172169730|0002|YA1
1815|B19H001|000000007172170850|0002|YA1
1815|B20B004|000000007172177430|0002|YA1
1815|B19A005|000000007172178630|0002|M1
1815|A21G005|000000007172187950|0002|YA2
1815|A21G002|000000007172188050|0002|YA2
1815|A21D001|000000007172188150|0005|YA2
1815|A12I001|000000007173219450|0003|Y1
1815|A12I001|000000007173219450|0008|Y1
1815|A12I005|000000007173223640|0005|Y1
1815|B15G002|000000007173305960|0002|Y1
1815|B17K004|000000007173362430|0003|Y2
1815|B21K001|000000007173376430|0002|YA1
1815|B21K001|000000007173376430|0003|YA1
1815|B21K001|000000007173376430|0004|YA1
1815|B21K001|000000007173376430|0005|YA1
1815|B21K001|000000007173376430|0006|YA1
1815|B21K001|000000007173376430|0007|YA1
1815|A08J283|000000000071586173|0003|YX1
1815|A13J006|000000000071586191|0006|Y1
1815|B08H029|000000000071586612|0009|UA1
1815|A12K002|000000007172092530|0005|Y1
1815|A12K002|000000007172092630|0005|Y1
1815|B08I115|000000007183339230|0002|Y1
1815|B08I115|000000007183339230|0003|Y1
1815|A12K002|000000007172166130|0005|Y1
1815|A12K002|000000007172166230|0005|Y1
1815|A12K002|000000007172166330|0005|Y1
1815|A12K002|000000007172166430|0005|Y1
1815|A12K002|000000007172167130|0005|Y1
1815|A12K002|000000007172173130|0005|Y1
1815|A12K002|000000007172173230|0005|Y1
1815|B19A005|000000007172178630|0003|M1
1815|A12K002|000000007172202030|0005|Y1
1815|A12K002|000000007172202130|0005|Y1
1815|A12K002|000000007172202230|0005|Y1
1815|B09F045|000000000071231324|0007|UA1
1815|A10K004|000000000071826074|0002|UB1
1815|A10K004|000000000071826074|0003|UB1
1815|A10K004|000000000071826074|0004|UB1
1815|A10K004|000000000071826074|0005|UB1
1815|A10K004|000000000071826074|0007|UB1
1815|A10K004|000000000071826074|0008|UB1
1815|A10K004|000000000071826074|0012|UB1
1815|A10K004|000000000071826074|0013|UB1
1815|B09F047|000000000071827088|0004|UB1
1815|B16I002|000000000071828390|0002|M1
1815|B16I002|000000000071828390|0003|M1
1815|B16I002|000000000071828390|0004|M1
1815|B16I002|000000000071828390|0005|M1
1815|B16I002|000000000071828390|0006|M1
1815|B16I002|000000000071828390|0007|M1
1815|B16I002|000000000071828390|0008|M1
1815|B16I002|000000000071828390|0009|M1
1815|A08J168|000000000071833042|0004|UB1
1815|A10J005|000000007182555810|0005|Y2
1815|A10J005|000000007182555810|0007|Y2
1815|A08I279|000000007182562540|0002|UB2
1815|A08I279|000000007182562540|0003|UB2
1815|A08I279|000000007182562540|0004|UB2
1815|A08I324|000000007182591760|0004|Y1
1815|A09F097|000000007182594630|0004|YA1
1815|A15G002|000000007182607530|0005|Y1
1815|A15G002|000000007182607530|0008|Y1
1815|A15G002|000000007182607530|0009|Y1
1815|A15G002|000000007182607530|0010|Y1
1815|A15G002|000000007182607530|0012|Y1
1815|A15G002|000000007182607530|0014|Y1
1815|A15G002|000000007182607530|0017|Y1
1815|A15G002|000000007182607530|0020|Y1
1815|A15G002|000000007182607530|0021|Y1
1815|A15G002|000000007182607530|0025|Y1
1815|A15G002|000000007182607530|0026|Y1
1815|A15G002|000000007182607530|0027|Y1
1815|A15G002|000000007182607530|0032|Y1
1815|A08I010|000000007182637630|0016|Y2
1815|A08I010|000000007182637630|0018|Y2
1815|B09F020|000000007182638540|0004|YA1
1815|B09F020|000000007182638540|0005|YA1
1815|B09F020|000000007182638540|0006|YA1
1815|B09F020|000000007182638540|0007|YA1
1815|A08I314|000000007182644340|0004|YA1
1815|A08I314|000000007182644340|0016|YA1
1815|A08I314|000000007182644340|0019|YA1
1815|A08K006|000000007182644840|0005|UB1
1815|A08K006|000000007182644840|0006|UB1
1815|A08K006|000000007182644840|0007|UB1
1815|A16G002|000000007182645360|0005|Y3
1815|A16G002|000000007182645360|0018|Y3
1815|A16G002|000000007182645360|0019|Y3
1815|A16G002|000000007182645360|0025|Y3
1815|A13D004|000000007182645370|0004|Y2
1815|A13D004|000000007182645370|0005|Y2
1815|A13D004|000000007182645370|0019|Y2
1815|A08J290|000000007182645690|0006|UB1
1815|A08J290|000000007182645690|0007|UB1
1815|A08J290|000000007182645690|0012|UB1
1815|A16C003|000000007182645830|0002|Y2
1815|A16C003|000000007182645830|0003|Y2
1815|A16C003|000000007182645840|0002|Y2
1815|A16C003|000000007182645840|0003|Y2
1815|A16C003|000000007182645840|0009|Y2
1815|A17L001|000000007182645940|0008|M1
1815|A17L001|000000007182645940|0015|M1
1815|A17L001|000000007182645940|0016|M1
1815|A17L001|000000007182645940|0018|M1
1815|A13G004|000000007182646940|0007|UB2
1815|A13G004|000000007182646940|0015|UB2
1815|B08I280|000000007182656040|0002|UA1
1815|B08I280|000000007182656040|0005|UA1
1815|B08I280|000000007182656040|0006|UA1
1815|B08I284|000000007182656140|0002|UA1
1815|B08I284|000000007182656140|0004|UA1
1815|B08I284|000000007182656140|0009|UA1
1815|B08I284|000000007182656140|0012|UA1
1815|B08I284|000000007182656140|0016|UA1
1815|A08J267|000000007182656840|0002|Y1
1815|A08J267|000000007182656840|0003|Y1
1815|A08J267|000000007182656840|0004|Y1
1815|A08J267|000000007182656840|0005|Y1
1815|A08J267|000000007182656840|0006|Y1
1815|A08J267|000000007182656840|0007|Y1
1815|B08I297|000000007182769640|0002|UB2
1815|B08I297|000000007182769640|0003|UB2
1815|B08I297|000000007182769640|0008|UB2
1815|B08I299|000000007182887040|0003|UA1
1815|B08I299|000000007182887040|0005|UA1
1815|B08I299|000000007182887040|0007|UA1
1815|B08I299|000000007182887040|0008|UA1
1815|B08I299|000000007182887040|0009|UA1
1815|B08I299|000000007182887040|0010|UA1
1815|B08I299|000000007182887040|0011|UA1
1815|B08I299|000000007182887040|0014|UA1
1815|B08H020|000000007182902230|0002|UB1
1815|B08H020|000000007182902230|0003|UB1
1815|B08H030|000000007182907280|0006|UB1
1815|B15G001|000000007182915030|0008|Y5
1815|B15G001|000000007182915030|0015|Y5
1815|B14F002|000000007182915240|0008|Y2
1815|A08I127|000000007183007410|0005|Y1
1815|A15A003|000000007183074390|0002|Y2
1815|B08I236|000000007183133430|0006|EI2
1815|B08I236|000000007183133430|0008|EI2
1815|B08I236|000000007183133430|0013|EI2
1815|A08J072|000000007183175130|0004|A1
1815|A16G001|000000007183196640|0002|UA1
1815|A16G001|000000007183196640|0003|UA1
1815|A08I355|000000007183243230|0006|YK1
1815|A08I355|000000007183243230|0010|YK1
1815|A08I355|000000007183243230|0012|YK1
1815|A08I372|000000007183248430|0003|Y2
1815|A08I372|000000007183248430|0004|Y2
1815|A08I372|000000007183248430|0008|Y2
1815|A08I290|000000007183324340|0005|UB2
1815|A08I290|000000007183324340|0006|UB2
1815|A12E001|000000007183344040|0009|UB2
1815|A12E001|000000007183344040|0012|UB2
1815|B08H028|000000007183352340|0002|UB1
1815|B08H028|000000007183352340|0003|UB1
1815|B08H028|000000007183352340|0004|UB1
1815|A08I299|000000007183374040|0002|UB1
1815|A08I299|000000007183374040|0003|UB1
1815|A08I299|000000007183374040|0004|UB1
1815|A08I299|000000007183374040|0005|UB1
1815|A08I299|000000007183374040|0006|UB1
1815|A08I299|000000007183374040|0007|UB1
1815|A08I299|000000007183374040|0008|UB1
1815|A08I301|000000007183401660|0002|UB1
1815|A08I301|000000007183401660|0003|UB1
1815|A08I060|000000007183411040|0003|Y2
1815|A08I060|000000007183411040|0004|Y2
1815|A08I060|000000007183411040|0008|Y2
1815|A08I060|000000007183411040|0009|Y2
1815|A08I060|000000007183411040|0010|Y2
1815|A08I060|000000007183411040|0011|Y2
1815|A08I060|000000007183411040|0013|Y2
1815|A08I099|000000007183554830|0002|UB1
1815|A08I099|000000007183554830|0003|UB1
1815|A08I099|000000007183554830|0004|UB1
1815|B15F001|000000000071720231|0003|Y1
1815|A14I004|000000000071720233|0002|Y1
1815|A14I004|000000000071720233|0005|Y1
1815|A14F003|000000000071720235|0004|Y1
1815|A14B002|000000000071720241|0003|Y3
1815|B20B004|000000007172177430|0003|YA1
1815|B22L001|000000007172205950|0006|YA1
1815|B13A002|000000007173222450|0002|Y1
1815|A14L003|000000007173294450|0002|Y1
1815|B08I071|000000007158907540|0004|YA3
1815|B08J108|S7157624030|0002|UA2
1815|B08J207|S7157624140|0004|UA1
1815|B08I188|S7157625050|0008|E2
1815|B08I188|S7157625050|0009|E2
1815|B08J264|S7157641040|0003|UA1
1815|B08J210|S7157642080|0003|UA1
1815|B08J211|S7157642180|0003|UA2
1815|B08J213|S7157652080|0003|UB1
1815|B08J032|S7157653030|0007|UB1
1815|B08J217|S7157654030|0003|UB1
1815|B08I271|S7157682710|0007|E2
1815|B08I271|S7157682730|0003|E2
1815|B08I271|S7157682730|0008|E2
1815|B08J222|S7157772960|0004|UA1
1815|B08J225|S7157781480|0004|UB1
1815|A08J199|S7157781880_10|0007|E1
1815|A08J199|S7157781880E|0003|E1
1815|A08J199|S7157781880E|0008|E1
1815|A08I137|S7158708250|0005|E1
1815|B08J088|S7123421030|0007|UB1
1815|B18H006|S071850492E|0004|YA1
1815|A08J105|S0071578886|0009|UA3
1815|B08J206|S7157623030|0004|UA1
1815|B08J204|S7157622280|0006|UB1
1815|B08J204|S7157622250|0004|UB1
1815|B08I382|S7157622030|0002|U1
1815|B08J202|S7157621040|0004|UB1
1815|B08J287|S7157602390|0004|UA2
1815|B08J100|S7157602070|0004|U1
1815|B08J185|S7147871730|0006|EY4
1815|B08J185|S7147871730|0002|EY4
1815|A08J093|S712919018W|0004|E1
1815|B08J174|S7123902530|0003|UB1
1815|B08I399|S7123834530|0009|UA1
1815|B08I399|S7123834530|0004|UA1
1815|B08I399|S7123834530|0003|UA1
1815|B08I399|S7123834530|0002|UA1
1815|A08J086|S7123756440|0009|UA1
1815|A08J086|S7123756440|0008|UA1
1815|A08J086|S7123756440|0007|UA1
1815|A08J086|S7123756440|0006|UA1
1815|A08J086|S7123756430|0009|UA1
1815|A08J086|S7123756430|0008|UA1
1815|A08J086|S7123756430|0007|UA1
1815|A08J086|S7123756430|0006|UA1
1815|B08I349|S7123744440|0013|UB1
1815|B08I349|S7123744440|0008|UB1
1815|A08J084|S7123624440|0009|E1
1815|B09C002|S7123614630|0004|UA1
1815|B08I220|S7123604330|0003|UB1
1815|A14H004|S7123501430|0011|Y2
1815|B08J088|S7123421040|0003|UB1
1815|B08J088|S7123421030|0005|UB1
1815|B08J158|S7123288030|0002|UB1
1815|B08J145|S7123192330|0005|Y1
1815|B16I004|S7047722430|0004|MA1
1815|B18H006|S071850492E|0005|YA1
1815|B08H063|S071586585E|0010|UA1
1815|B09B004|S0071836322|0004|Y1
1815|B09E005|S0071832418|0003|Y1
1815|B09E003|S0071832413|0003|Y1
1815|A16B001|S0071741436|0002|Y1
1815|A15B017|S0071741050|0003|Y1
1815|A15B017|S0071741050|0002|Y1
1815|A15B001|S0071741048|0007|Y1
1815|A15B001|S0071741048|0005|Y1
1815|A15B001|S0071741048|0004|Y1
1815|A15B001|S0071741048|0002|Y1
1815|A08J105|S0071578886|0006|UA3
1815|B08J251|S0071348887|0002|Y1
1815|B08J177|S0071281030|0002|UA3
1815|B08I399|S0071238345|0006|UA1
1815|B08I357|S0071237830|0005|UB1
1815|B08I357|S0071237830|0003|UB1
1815|B08I118|S0071236060|0006|UB2
1815|B08I118|S0071236060|0005|UB2
1815|A18L001|S7172155550P|0005|YA1
1815|B18J003|S7173453240|0003|YA1
1815|A16J001|S7174155530|0004|Y1
1815|B09E003|S7183241330|0004|Y1
1815|B09B004|S7183632230|0002|Y1
1815|B18K003|S7187326030P|0005|MA2
1815|B18K003|S7187326030P|0006|MA2
1815|B18K003|S7187326030P|0011|MA2
1815|B18K003|S7187326030P|0012|MA2
1815|B18K003|S7187326030P|0017|MA2
1815|B18K003|S7187326030P|0018|MA2
1815|B18K003|S7187326060P|0005|MA2
1815|B18K003|S7187326060P|0006|MA2
1815|B18K003|S7187326060P|0011|MA2
1815|B18K003|S7187326060P|0012|MA2
1815|B18K003|S7187326060P|0017|MA2
1815|B12C002|S7187897230|0003|Y1
1815|A09C006|S7198337340P|0005|Y1
1815|A09C006|S7198337340P|0006|Y1
1815|A19E001|000000000071733830|0004|M1
1815|A19E001|000000000071733830|0005|M1
1815|A19E001|000000000071733830|0006|M1
1815|A19E001|000000000071733830|0007|M1
1815|A19E001|000000000071733830|0012|M1
1815|A10B001|000000007183594630|0004|UA1
1815|A10B001|000000007183594640|0004|UA1
1815|A08J336|000000007183607630|0006|UA1
1815|A08J336|000000007183607630|0007|UA1
1815|A08J336|000000007183607630|0008|UA1
1815|A08J336|000000007183607630|0009|UA1
1815|A08J336|000000007183607630|0010|UA1
1815|A08J336|000000007183607630|0011|UA1
1815|A08J336|000000007183607630|0012|UA1
1815|A08J285|000000007183644770|0002|UB1
1815|A08J285|000000007183644770|0003|UB1
1815|A08J285|000000007183644770|0004|UB1
1815|A08J285|000000007183644770|0005|UB1
1815|A08J285|000000007183644770|0006|UB1
1815|A08J285|000000007183644770|0007|UB1
1815|A08J285|000000007183644770|0008|UB1
1815|A18E001|000000007189399530|0024|M1
1815|B20A001|000000007198306030|0008|YA1
1815|B20A001|000000007198306070|0008|YA1
1815|B17G003|000000007182278430|0004|M1
1815|B08I025|000000007183419030|0010|Y1
1815|B08I025|000000007183419030|0011|Y1
1815|B08I025|000000007183419030|0012|Y1
1815|B08I025|000000007183419030|0013|Y1
1815|B08I025|000000007183419030|0014|Y1
1815|A14A001|000000007183644740|0010|Y1
1815|A14A001|000000007183644740|0011|Y1
1815|A14A001|000000007183644740|0012|Y1
1815|A14A001|000000007183644740|0013|Y1
1815|A14A001|000000007183644740|0008|Y1
1815|A10H001|000000007183822130|0002|UB1
1815|B19B007|000000000071838390|0002|M1
1815|B19B007|000000000071838390|0003|M1
1815|B19B007|000000007183839140|0002|M1
1815|B14F003|000000007183902340|0013|UB2
1815|B16C002|000000007183903760|0014|UB3
1815|B08H045|000000007183905940|0002|UA1
1815|B08H045|000000007183905940|0003|UA1
1815|B09F015|000000007183907030|0010|UB3
1815|B09F015|000000007183907030|0011|UB3
1815|B09F015|000000007183907030|0012|UB3
1815|B09F015|000000007183907030|0013|UB3
1815|B09F015|000000007183907030|0014|UB3
1815|B12D002|000000007183915030|0007|Y4
1815|B12D002|000000007183915030|0014|Y4
1815|B12D002|000000007183915240|0006|Y4
1815|B09F019|000000007183945030|0008|Y1
1815|B09F019|000000007183945030|0009|Y1
1815|A11G001|000000007183974930|0005|UB2
1815|A11G001|000000007183974930|0006|UB2
1815|A11G001|000000007183974930|0009|UB2
1815|A08I369|000000000071835846|0002|UA5
1815|B08I323|000000000071836160|0002|UB1
1815|A11F001|000000000071836433|0003|Y3
1815|B08J289|000000000071837062|0003|Y1
1815|B08J289|000000000071837062|0004|Y1
1815|B08J289|000000000071837062|0005|Y1
1815|B08J289|000000000071837062|0006|Y1
1815|B08J289|000000000071837062|0007|Y1
1815|B08J289|000000000071837062|0008|Y1
1815|B08J289|000000000071837062|0009|Y1
1815|B08J071|000000000071837433|0002|UB2
1815|A13K006|000000007183419240|0002|Y4
1815|A13K006|000000007183419240|0003|Y4
1815|A13K006|000000007183419240|0004|Y4
1815|A13K006|000000007183419240|0005|Y4
1815|A08I191|000000007183553940|0003|UA2
1815|A08I191|000000007183553940|0004|UA2
1815|A08I191|000000007183553940|0007|UA2
1815|A08I191|000000007183553940|0008|UA2
1815|A08I200|000000007183556940|0006|UB1
1815|B08J294|000000007183557410|0005|YA1
1815|B08J294|000000007183557410|0009|YA1
1815|B08J293|000000007183559140|0004|UB1
1815|B08J293|000000007183559140|0005|UB1
1815|B08J293|000000007183559140|0006|UB1
1815|B08J293|000000007183559140|0007|UB1
1815|A10J002|000000007183607730|0017|UB1
1815|A10J002|000000007183607730|0021|UB1
1815|A10J002|000000007183607730|0024|UB1
1815|A10J002|000000007183607730|0026|UB1
1815|A10J002|000000007183607730|0027|UB1
1815|A10J002|000000007183607730|0028|UB1
1815|A10J002|000000007183607730|0029|UB1
1815|A10J002|000000007183607730|0030|UB1
1815|A10J002|000000007183607730|0031|UB1
1815|A10J002|000000007183607730|0032|UB1
1815|A10J002|000000007183607730|0033|UB1
1815|A08H014|000000007183643790|0006|YK2
1815|A08H011|000000007183643860|0002|YA1
1815|A08H011|000000007183643860|0003|YA1
1815|A08H011|000000007183643860|0017|YA1
1815|A08H011|000000007183643860|0018|YA1
1815|A08J194|000000007183644840|0002|UB1
1815|A08J194|000000007183644840|0003|UB1
1815|A08J194|000000007183644840|0004|UB1
1815|A08J194|000000007183644840|0005|UB1
1815|A08J194|000000007183644840|0006|UB1
1815|A08J194|000000007183644840|0007|UB1
1815|A08I077|000000007183645450|0002|UB2
1815|A08I077|000000007183645450|0003|UB2
1815|A08I077|000000007183645450|0004|UB2
1815|A08I077|000000007183645450|0005|UB2
1815|A08I077|000000007183645450|0006|UB2
1815|A08I077|000000007183645450|0007|UB2
1815|A08I077|000000007183645450|0008|UB2
1815|A12K004|000000007183645840|0007|Y2
1815|A12K004|000000007183645840|0008|Y2
1815|A12K004|000000007183645840|0009|Y2
1815|A12K004|000000007183645840|0010|Y2
1815|A12K004|000000007183645840|0011|Y2
1815|A12K004|000000007183645840|0012|Y2
1815|A12K004|000000007183645840|0013|Y2
1815|A12K004|000000007183645840|0014|Y2
1815|A12K004|000000007183645840|0015|Y2
1815|A12K004|000000007183645840|0016|Y2
1815|A08I306|000000007183645940|0006|UB1
1815|A08I306|000000007183645940|0007|UB1
1815|A08I306|000000007183645940|0009|UB1
1815|A08I306|000000007183645940|0014|UB1
1815|A08I309|000000007183646640|0022|Y1
1815|A08I125|000000007183647830|0010|YM1
1815|A08I125|000000007183647830|0011|YM1
1815|A08I125|000000007183647830|0016|YM1
1815|B16A001|000000007183653730|0002|UB1
